id,text,non_irony,irony
52,MLS Transactions 2015 #MLS making waves again   2 b fair it will take more than 2 players to fix this,0,1
53,@user I'll be a bit sweaty by the time I get to you!,1,0
54,a bad game last night. Way to go Packers!,1,0
55,I hope I could recover from fever today. I need to start with strama..,1,0
56,"somebody wake me up early tomorrow ive been facing weird aches in my back since early december .,. and why do u think that relates madaka",1,0
57,The Champions League is overrated anyway!,0,1
58,Porygon2 are  found in the www.monstermmorpg. com wild. #firemen follow @user #paint,1,0
59,@user are you looking at the wrong profile picture?,1,0
60,@user One day I want to travel with my bestfriend 🌏✈️ DONE DID TRAVELED DA WORLD!! @user ❤️,1,0
61,@user u simply cant win with @user if it is twitter fight!!! :-P,1,0
62,Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,0,1
63,#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. via @user,1,0
64,ruling party in power#central#state#misusing their power#PM speaking only in foreign parliment#pm to visit out side india during session,1,0
65,Gareth's polar opposite is a chicken-loving vegetarian 😂🐣  #Bones @user,0,1
66,Watching creepy shit before bed when alone = bad idea. Is there a spell to turn a French bulldog into a big ass bulldog? #bewareofdog,0,1
67,i do occupy rent free space in his cranial cavity LOL @user,1,0
68,Had to take a #PatioPics - snow falling still. This was totally clear when I went to sleep. #WCCO,1,0
69,"August has the most birthdays, February has the least and most of the serial killers are born in November!||-so dont mess up with me|#nov26",1,0
70,Lol RT @user Wouldn't surprise me if Soldado bangs in a hatrick and we win 0-3 against Chelsea tonight .. The legend is back,1,0
71,My husband thinks I'm crazy because I taped my tape dispenser. Hehe. I'm handy like that. ....,0,1
72,My secret name is lizard squad. I like to ruin people's fun time. Follow and rt to a billion and you'll have fun. #psn  #giveitup,0,1
73,"Tomorrow's afternoon #NFL sked in #PanamaCity area: WECP 12p #KCvsPIT, 3:25p #INDvsDAL; WPGX 12p #ATLvsNO.",1,0
74,@user @user I sure hope ev1 vaccinations are up to date! #GoBolts @user @user @user,1,0
75,Pulis turned down #NUFC cos he wants to spend a load of money on 30 year old journeymen. Parish wouldn't let him & neither would MA. #cpfc,1,0
76,Sending best wishes to all my coworkers at the 9AM this morning,0,1
77,@user try having no internet for a month. Now I know how Ethiopians feel.,0,1
78,"so, sane peoples would talk to themselves in twitter because they can't find other sane humans to talk to. that  #retweet#ifagree",0,1
79,Thanks @user for connecting. Always look forward to exchange thoughts n ideas with #entrepreneur working on #green n #sustainability,1,0
80,Seems as if @user wants to endorse me on LinkedIn for  - any thoughts on this from the #OMCchat crowd?,1,0
81,Love being made fun of,0,1
82,@user @user @user Oh wow your talking Skype! Cool!,0,1
83,"he was half of what she deserved, yet he was all that she ever wanted ,,,,",0,1
84,#Christmas  #been #the #best @ West Monkseaton,1,0
85,Parking meter obviously forgot to get its own parking ticket.,0,1
86,About to fuck up this Media exam  #actuallyihopeso,0,1
87,well today is gonna be a great day 👌,0,1
88,Heaven help the fool who did her wrong,1,0
89,"Just bartered for a bottle of rum in best one, and got it down from £18 to £14. Happy Fucking New Year to me!!",1,0
90,find ONE local PD that reported an 80% drop @user @user @user @user @user @user,1,0
91,@user @user Money 4 Church|http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,1,0
92,Well it's always a good time losing at the Bay... @user @user @user,0,1
93,Welsh devolution? How's this for starters...,1,0
94,I love when folks call Brady a system QB but are THE BIGGEST Peyton Manning fans. .,0,1
95,"@user Instead of playing the pompous ""do you know who I am card?"" , how about you actually make an educated rebuttal?",1,0
96,Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask,0,1
97,I feel a nap in my near future. #NapTime,1,0
98,#AnalScreen #Exotic Exotic brunette gets her little tight butt nailed right on the office desk,1,0
99,#sundayfunday #mylove #mermaidlove #newyear2015 @ Rockefeller Center,1,0
100,The ever so caring @user gets to see the siege ending first. Great journalism.,0,1
101,@user You truly are my son.,1,0
102,hmmm. I do wonder why Astec has one fewer employee? #lol,0,1
103,#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. via @user,1,0
104,"Kevin Durant with 23pts on 8-13 shooting, has this nigga been inefficient since he came.",0,1
105,This chap seems to be a bit of an over sexed out going extrovert ... Must be his overly masculine voice and demeanor.,0,1
106,"Damit, this fatima bhutto has an instagram account but not pics of her. Some random shit...and then ppl i follow keep posting pics.",0,1
107,@user so funny lolololol,0,1
108,@user @user what the hell ever.,1,0
109,On my lunch break so sleepy😴,1,0
110,"@user @user More clean OR cleaner, never more cleaner",1,0
111,"Amen, that's due to them  having respect for themselves.",1,0
112,Double standards are always a fun thing,0,1
113,"@user I don't think, I know x",1,0
114,Now I've written down everything I need to know it seems a lot more manageable.,0,1
115,35 amazing followers in the last week and there will be more tomorrow. Growing with,1,0
116,Oversleeping is the bestttt.,0,1
117,I need a misadventure form because I broke my hand practising and rewriting this english essay 500 times,0,1
118,@user #NoodleScene anyone? He was so zen there. . Oh! wait! But #deadHenry and #bouncebackAnnie. Silly me! All makes sense now!,0,1
119,"A strange day so far everyone seems in such a good moodmaybe in actually napping or still drunk ""still time for grumpy to return",0,1
120,"I love that when a female expresses herself in an emphatic manner, it's always attributed to her menstrual cycle. -Mags  #PMS",0,1
121,These girls can wake up people from the dead!  #worth #watching,1,0
122,Travel and tourism this morning.My favourite lesson whoooo,0,1
123,Remember that one episode Santana wanted to be a dancer but then forgot about it altogether. Good times. Good times. #Glee,0,1
124,To all u #deadbeatdads ur not worth a hair on our #kids heads.. Tough being a #singlemom but at least my #beautiful #daughter is loved by Me,1,0
125,Feeling the irony of using  to find people ironically using the work irony wrong. #metahipster,0,1
126,Aaaaaaaaand we're back in the ER. Hooray for no sleep!,0,1
127,Just a had a Bruce Springsteen flashback. *shudder* @user @user @user @user @user,1,0
128,Is Obamacare Slowing Health Care Spending?  via @user,1,0
129,Sessions!! #why  #scary #canary #sydney #australia by lavin56,1,0
130,@user Ha! I don't have haters. Just a few misguided souls who thought my mentions were a bulletin board for their issues. ;),0,1
131,Hiding in plain sight. By #MichaelBeerens (http://t.co/EJaFcMsIrA) #graffiti #streetart,0,1
132,@user Ooooh only the 'economic' destruction of the country. Now that makes a world of a difference.,0,1
133,IT'S DEFINITELY NOT FRIDAY. THE REASON IS: It's Tuesday~! Yesterday it was Monday so why should it be Friday.,0,1
134,Nothing better than getting a snapchat from @user with #the weight playing in the background #sameparents #sametunes,1,0
135,"Ask Mystic Mona YOUR question! Psychic View, weekdays at 9am (PDT) 347-850-1494 #BlogTalkRadio",1,0
136,#late night #shopping #bullringbirmingham #sunglasses really? Lol 😁 #sayyes she says xxx,1,0
137,saturday class wee,0,1
138,"I have a VERY limited number of press seats available for a Meet Me There screening in Austin on January 21. Hit me up, press types.",1,0
139,"@user T-Mobile's CEO thinks the Apple Watch is going to be huge <-- I do, too.",1,0
140,Sailing-|×|#me #selfie #ootd  #cool  #cute #girl #tumblr #black #style #rock #punk #vsco...,1,0
141,Now gonna enjoy this day with my babies!!✌️,1,0
142,I love cold winter days cause I never know when my car decides not to start 😑,0,1
143,This clinical psychology exam is gunna be the main cause of whatever mental disorder I develop,0,1
144,"@user he hasn't been diagnosed w/ bipolar disorder yet I'm assuming?He needs to ""beat"" his ""hard feeling"" emotions into submission.",0,1
145,@user Duly noted ;p ;p ;p,1,0
146,Heaven knows I'm miserable now ... #TheSmiths #girl #old #ohwow #InstaSize  #a #goodmood #weirdpose,1,0
147,.@BDUTT is at her best when she reports frm 'on the field'. Not that she is bad at studio but on field she is a true story teller.,1,0
148,@user The only place where you don't wanna sit on the seat that you earned. |#Dancing |#QuiksilverGoesSupersonic,0,1
149,@user where's me boots happy,1,0
150,Good morning hank its saturday im starving,1,0
151,##to#our#countries#special#dedication#to#ma#Syrian#friends#you're#alone#instalisten#by#heart#voice#,1,0
152,@user Are they going for the very original plans now?,1,0
153,Erasure by Percival Everett and Pym by Mat Johnson....So there is black literature after the Black Arts Movement  #ChangetheCanon,0,1
154,What a great person you are.,0,1
155,It's gonna be a great day 😃,0,1
156,"@user Oh no, I've tipped Gamergates hand. Now you know our end game!",0,1
157,Cluck! RT @user Most transparent administration ever sends password-protected documents to Oversight.  #Gruber,0,1
158,@user @user Ya cause their country is calm and peaceful from Everyone arming themselves,0,1
159,Its gonna be a loooong day..  but yolo lets have fun 😆,0,1
160,Reading a Victoria's Secret Fashion Show recap with a plate of French fries in front of me 🍟,0,1
161,.@Moz @user Woot woot! Whiteboard Friday's are my favorite Friday activity!,1,0
162,"Why is it so hard for people to cover their mouth when they cough?? Specially old people! Wtf, isn't it common curtesy? #coveryomouf #nasty",1,0
163,"@user @user The more liberal the city, the more class and intelligence it exudes.",0,1
164,"@user People who commit crimes, resist cops, or attack cops are endangering their own lives. No respect for law or other people.",1,0
165,Did #lyntoncrosby invent #CameronMustGo ? Puerile attacks on @user in RW press provoked #webackEd which led to #CameronMustGo,0,1
166,Love coming to school knowing I have tests all day,0,1
167,@user wow.. she really touched them with that tweet.,0,1
168,"Have successfully avoided everything from season 4 - which I've not seen and there's an S5 one, in my timeline.  Thanks Indy!",0,1
169,Gawd! I love 9am lectures and 4-6pm lectures.,0,1
170,@user apricots pears and boozy Belgian goodness. A winter warmer.,1,0
171,Great way to start of the day,0,1
172,So lakeside was like 7million scavengers  all in 1place #hadfun  #neverboxingdayshoppingagain,0,1
173,My stomach is a Wonderland for gas inducing bacteria. #blessed,0,1
174,.@ThatNeilGuy Isn't it great how all those ppl have done a public mea culpa since that didn't happen?,0,1
175,"Song of the Day: ""The Lights and Buzz"" - Jack's Mannequin.",1,0
176,Younger siblings are okay. But then they do this irritating thing where they wake you at 5:15 to open presents. And that's just awesome,0,1
177,Some #tblightning action along the boards at @user in #Tampa #fuji #x30 #boltssocial #bethethunder,1,0
178,@user I think I'm gonna check your music out later. Thanks☺,1,0
179,Ouch that hurt 😂,0,1
180,I love how sometimes I am skipped over so the greeting replies are just towards Odin but not me.,0,1
181,#Landlord collects #Rent from #HoneyBees in #BeeHive ... #Bee #Honey #ItalianBees,1,0
182,"May be cold tomorrow, December 28, 2014! A low of -7℃ - dress warm!",1,0
183,I'm glad the DC Council has it's priorities intact...  #DC,0,1
184,"If there was no #CFBPlayoff this year, would there really be an argument against #ALAvsOre for a #NationalChampionship? Shouldn't be.",0,1
185,Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  🙈,0,1
186,The last Twolves game I was jacked for was right after the lockout in 2011 vs. OKC (Rubio's 1st game)... I wonder if I when I will again?,1,0
187,@user looking forward to the time I have to traipse down the stairs to postie with a baby attached to my nipple! 😳,0,1
188,Currently writing about how I plan to stop procrastinating after leaving the paper untouched all day,0,1
189,@user what's the rush? His leg is still attached right?  #dr.dabo,0,1
190,"Dear Manila, I'm with your traffic twin - Bangkok! yahooo  @ Sirat Express way",0,1
191,@user @user protecting the namesake of a #PalinSpawn,0,1
192,The ugly truth... #abuse  #enough #words,1,0
193,Just ordered 10 new pairs of underwear from Victoria Secret 😍 #yay,1,0
194,@user A lot of ingredients. More specifically.... Like a lot a lot,1,0
195,"amazing how they are the one doing the ignoring, and think they are set free @user @user @user",1,0
196,#notcias #eu #europ Conselho Europeu 18-19 Dezembro 2014 - Click here for more up-to-date information on the Euro...,1,0
197,Ideology in a nutshell - the meaning of life in a sentence for every perspective.,1,0
198,@user It's not work if you enjoy it #eh,0,1
199,"Is it wrong of me to not want to read about horrible things in this world, just for one day?",1,0
200,@user funny,0,1
201,SmartPhone APP PAYS you!|see- #Verizon #folloback #tcot|Go 2:,1,0
202,"@user thanks for sharing Mike, your opinion means a lot to us.  #orisit?",0,1
203,@user @user |Its @user  bcoz he is so #Nasty and loves his  ...||#GoSupersonicQuikr,1,0
204,Those Amarillo hops make it just right #goldilocks - Drinking a Tour de Fall @ Memphis' Pint & Dram - #photo,1,0
205,I may need to reread the books but did we ever find out what Draco's Boggart was? @user #HarryPotter #dracomalfoy,1,0
206,"Everyone has got a selfie stick this year. I've had one for ages, just saying  #mainsteam #TrendSetter",1,0
207,Oh and it's a positively balmy 7c,0,1
208,@user it's finally open XD I used a youtube video to help me :) Thanks very much ;),1,0
209,A whole day at NS w/clients. YAY.,0,1
210,|| Flattery will get me everywhere  [@TaliaHaleTW],0,1
211,Late night snuggles with my boy 💜💕,1,0
212,It was a greaaaat night! ☺️😁,1,0
213,We buy into liberal individualism and see our individual fate as black people in no way linked to the collective fate-Bell Hooks #Ferguson,1,0
214,@user fine atm is they Glazed Apple shower gel and perfume it smells amazing!,1,0
215,chicks be really pimping more then males these days #the#look #yallknowthatsnotcoolright?,1,0
216,Hummingbirds #Are  #Experts #at #Hovering #After #All: #Background #Motion ...: If the hovering ability of the...,1,0
217,Good luck today DJ Durkin. It is NOT great to be a Florida gator. | |#fuckUF,0,1
218,Playing golf all day 'ery day |#PerksOfBeingOld,1,0
219,Filmmaker and writer Nicole Franklin is on Twitter @user Pls follow. #EConvo #Film #Director,1,0
220,One from her please *cries*,1,0
221,"@user @user not playing out in the provinces like, oh, Mississippi.",0,1
222,"Today stats: 5 followers, 8 unfollowers and followed 2 people via",1,0
223,"#Legend says if you stand in front of a mirror+say ""I can't even"" 3 times, a girl in #yogapants will appear+give you a pumpkin spice latte.",1,0
224,Claybo Dawson and I are @user 's #squadgoals 😎,1,0
225,"@user @user is it bad that after my ""happy Preds won"" 🎉 dance my first thought was Donnie?! 😁🙊",1,0
226,It's  #cute to be awake right now,1,0
227,It's 8:46 and I'm ready for bed.,1,0
228,Buddhism Chant (kids) #Music #Education,1,0
229,MVP goes to Concordia Wifi.,0,1
230,@user Warwick Davis is more than twice the man Tony Blair is,0,1
231,All I wanted was to see you,1,0
232,Chill #Repost #Dead  #Dominos #Haha 😂💀,1,0
233,"@user @user I wish son. like I said, twitter, wit on twitter and the magic of photos that are  3D = smoke and mirrors effect.",1,0
234,It's almost 1am and @user and I are arguing on why the guy is cute or not. Really. This is our lives. Come on were adults.,0,1
235,I just love the NHS,0,1
236,"@user he offered it but he made it sure the board refused double 16m in October, all in Rangers interest",0,1
237,Twitter can be so annoying,1,0
238,@user Is it on display at any given time at Ryerson?,1,0
239,@user  When continuationists demand a prooftext for cessationism. / @user beautiful observation,0,1
240,I just love not being able to sleep..  #sotired,0,1
241,"@user How do you propose to determine ""sides""? I have both black and white family members. #racewar  #LoveNotWar",0,1
242,"@user @user Everybody just keeps saying ""Gronk and large contingent of Patriots."" Who else is there with Rob?",1,0
243,Wow I love having 3 essays due in the next 3 weeks,0,1
244,Finally 2015 will be a worry free year for me.,0,1
245,Monday mornings are my fave :),0,1
246,to be an Ass but ohh Yeaa!!!!,1,0
247,@user yeah that's it,0,1
248,"Facebook owner, Mark Zuckerberg, says ""dislike"" to creating a dislike button",1,0
249,Catching up on the RHOA!!!!#love the drama,1,0
250,Ummm can I please have @user for Christmas?! Dang he looks great tonight. Why did I not go to this thing tonight?,1,0
251,", on the Same day, the 50th anniversary of the #FreeSpeechMovement, a brave critic, was abandoned by our conformist #Press.",0,1
252,#MuslimApologies – 10 Tweets that Explain What Muslims Should be Sorry for!,0,1
253,Zuckerberg says he wears a grey t-shirt everyday because he doesn't want to waste time on things that don't matter||He runs Facebook||,0,1
254,"Time to continue cleaning out my closet. Happy, happy, joy, joy.",0,1
255,"@user So, this Topless Feminist was just looking for someone to love?",0,1
256,: When the looks that are nurtured by statuesque beauties are nurtured by the skinniest supermodels. #Statuesque=#Skinny #Look,0,1
257,"Guess its just me, brett and my mom this year. Gotta love my family!",0,1
258,"@user @user @user @user @user Yes, you are but it also shows your ignorance , and hate.",1,0
259,"@user feeding your own flesh and blood/making an alley way smell terrible = same, same.  #90ssarcasm #thesun #thingsthatarewrong",0,1
260,@user You can afford stocks? Teachers make SO MUCH money it's crazy!,0,1
261,"@user @user The link says ""The requested page could not be found.""||Was the  intentional?",1,0
262,Montana Of 300 14 - THE BEST Versace Remix IN THE...: this dude goes off,1,0
263,@user me and you are the only ones that love it 😆🎅🎉🎶,1,0
264,Don't you love when guys try to give you their number? Keyword TRIED.  #backupoff,0,1
265,"Dayum, I really got the house to myself while my brother still has school all week 😎",1,0
266,"@user @user OMG want one, but I have EasyPay Express. This would mean I would only use it to ride PATH.",0,1
267,"@user ha yeah which is your opinion, which like mine, means nothing ;) they're in.",1,0
268,I'm knitting a scarf. Yes. Knitting. A scarf. Because manual dexterity and I like knitting. Problems?,1,0
269,Off to bed can't wait to feel this hangover. |,0,1
270,.@NSRoadsPolicing @user oh look an Audi driver breaking the law...how strange,0,1
271,"Here's an ""It's cold and I had to scrape windows so I'm sad"" selfie...gotta love living that hotel life",0,1
272,@user doesn't get more #indiefilm than #miboxzombie :-),1,0
273,@user @user we all know how well we did under Erickson.,0,1
274,@user public hammering the Steelers all week. Juicy.,1,0
275,#Work#Trains#TheGrind#London#Business#MyHappyFace,0,1
276,@user yup.. Few weeks in NZ mucking about then some time in Fiji dodging sharks.,1,0
277,"Quick feet in slow motion ! Never stop loving , knees high , arms moving ! Still a lot more to be done...",1,0
278,"I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @user tho....this girl got IT.",1,0
279,Sarcasm is the only thing i like.  #sarcasticbitch,1,0
280,Who ever thought moving in the middle of December would be so peaceful?,0,1
281,Bday lily painting for @user 💜,1,0
282,Do you use Instagram? Well get 100 free followers at -- No.,1,0
283,Some people just don't listen..Ah well guess they'll learn the hard way,1,0
284,One of my favourite things about going to fanshawe is walking to the Z building,0,1
285,I give people a break 2 say that without my supporting cast that none of my works would of made it is tosh. Did nobody get #Extras,0,1
286,I was being considerate about this issue N didn't care what I did. But now I'm taking my position back and I don't give a damn wht u think.,1,0
287,@user @user I can sign you in as my guest....,1,0
288,It's a comforting thought:every tax payer will b reminded of #OCARE being rammed in2 law when answering questions on 2014 tax forms,0,1
289,It's currently Fair and 4℃ outside.,1,0
290,@user did your python tweeter send that?,0,1
291,"Spiky popularity of the name ""Spike"" in the U.S. RT @user Baby name . #dataviz Source:",0,1
292,@user |do 4 fans!|http://t.co/TVgJXJy9DH|SmartPhone APP PAYS you & YOUR FANS!!|See-http://t.co/AlppO5hIe5 |Go 2:,1,0
293,"Off in to town to get a bday prezzy, how rude to have a birthday in Xmas week #BusyBee",1,0
294,now  in the MALLS! TAKE YEARS OFF YOUR SKIN! SEACRET Minerals from the Dead Sea!!!,1,0
295,@user Even you have to think the Religious Freedom Restoration Act in Michigan is ridiculous.,1,0
296,celebs takes drastic measures to look good...  #whoops #CelebrityLeakedPhotos,0,1
297,There's always that one friend to motivate and make you feel better. El7amdellah 3la wjoodch fe 7ayaty yaa dctortna el jameela <3 @user,1,0
298,"@user aww bless ya. Enjoy your break babe, yeah it was great thanks.. Finally recovering from it. How's Ya tash going? 😘",1,0
299,Let's all do only squats and deadlifts until we hurt ourselves --really really good trainers #fitnessmotivation,0,1
300,@user Did I really need to put a  hashtag? Oh dear!,1,0
301,@user Aren't humans the ones who are playing the sport?,0,1
302,Session at the local #1stPhoto #rektek #bmx #lookMamNoHands  #flying #fallingWithStyle,1,0
303,"Grandad is watching absolute shit on the telly. No seriously, It's on a channel I've never even heard of?! #FunChristmas !",0,1
304,@user @user great days there under Wilko.,0,1
305,Come on #OrionLaunch - it's 1am in Australia. Us down-under #geeks need *some* sleep,1,0
306,|Jihadi killers in #Ottawa #Sidney & #Peshawar are rogue acts while|FratBoy UVa Rapists are symbolic of deeper societal flaws...|#tcot,0,1
307,Running on less than 4 hours of sleep... #longnight #longday #sleepy,1,0
308,I have so much to do before tomorrow so I think maybe I'll take a nap?,1,0
309,Si Ms. Educ hehehe clear my ignorance 😍😂,1,0
310,"@user NO, there 'only' are some Finnish #snipers, working with the fascists in Kyiv! Nice guys, !",0,1
311,The long commute to work;  for this #KeyboardCowboy #anyonecancode @user,1,0
312,Meanwhile in Zimbabwe the South African imposed government promises to stamp out corruption.,0,1
313,Amazingly is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32,1,0
314,"@user Re: Xmas: ""Christmas"" is itself an abbreviation of ""Christ's Mass.""  @user",0,1
315,Aren't you just loving the snow?  #Stockport,0,1
316,If I believed in that sort of thing I should be canonized #selfpraise,1,0
317,EBOLA|BUT GREED AKA BADMIND KILLS EASILY AND QUICKQUICK,1,0
318,If that's Man U at its best they have much bigger problems than us ;) #saintsfc. Then again we're still 5th #noproblem,1,0
319,"@user Oh, come on. Give her a chance with her trust worthy SNS warriors and her followers in that ""Uber-Right wing"" portal.",0,1
320,@user my 7-year-old got it for me! I think Macy's,1,0
321,Just yelled at #someone #telling me to do #something #youre  my #mum #mistake was...it was actually my mum,0,1
322,Should be a balanced view then  @user @user,0,1
323,In desperate need of training partner(s) with the knowledge and insight of the infamous @user Candidates apply within.,1,0
324,@user one old fart to another: are you ever too tired to get up and go to bed? #allthetime,1,0
325,So if three geeks can bring down the whole of Microsoft and Sony networks..my annual firewall subscription is worth every penny!||,0,1
326,Loving life.,0,1
327,Security Engineers are not Security Guards. :| #Hackers  #security,0,1
328,Remember Black Friday was a bust....,0,1
329,@ the hospital for a new allergy test... Love it.,0,1
330,Jeez it's a lovely morning out!! 💨💧💦 👎  #Ireland #December,0,1
331,@user You know this is wrong don't you Please help us out here #EUVAT,0,1
332,I just love being wide awake at 4am,0,1
333,This history essay is literally shitting on me.,1,0
334,"Day off should be snuggled on the sofa doing nothing..... But alas I have Errons to do so trying up drag myself out of bed,  happening",1,0
335,I have #OTH playing in the back ground at work....ohhh #naughty :p but #FUN,1,0
336,Girls with British accents.. 👌 On point.,1,0
337,@user & @user cut a promo then @user states he's facing @user oh yay!!,0,1
338,love studying for anatomy 💓,0,1
339,ayee love your lips  trying to sound creepy,1,0
340,"@user Those ""waves"" are epic!  He he",0,1
341,My last final today then straight to my surgeons #WhatAGoodWeek,0,1
342,"@user Wow, neat! & a nice mini tour of Belfast as well. I think you should have asked for one of these for Xmas, Larry!",1,0
343,WOW Doutzen looks amazing after having a baby,1,0
344,@user dusty as usual🔌 #redbucket,1,0
345,I love when my mornings start off like this.,0,1
346,Oh look - wrapping presents is SO easy...here's the video to prove it!!!|http://t.co/f6QFevN0Ka,1,0
347,The  of taking a break from reading about #socialmedia to check my social media.,0,1
348,Taylor wrote a nasty note on my car today. #we #are  #friends,1,0
349,@user lol 😁.. Will let my kids know when they get up in the morning.. Thanks for the tip,1,0
350,I love waking up late and sick during dead week. #thebest,0,1
351,.@ChipBrent I love the #gamergate concept of harassing and spamming porn at any critics as proof that you're not a hate group.,0,1
352,Only ones in the cinema  #putting #my #phone #on #silent @user,1,0
353,"I have a small jacket on , with a big coat for later , I'm back at the train stn going back into town  , work Xmas do #joy",0,1
354,Can't wait for my 7:30am #dental appointment tomorrow!|Oh time please speed through today! !,0,1
355,@user love you so much taylor ✨🙇,1,0
356,"Nothing like waking up to 50+ financial formulas! Yay, for corporate finance comprehensive finals!  #finalsweek",0,1
357,A deal was negotiated between @user & GTAA. That deal was is hidden & built into the pricing of #UPX tix. Why all the secrecy? #TOpoli,1,0
358,@user He'd be a perfect fit... or Beachy/Medlen.,1,0
359,@user @user No reply. What a surprise.,0,1
360,Everything You've Been Told About Copywriting is BS.,0,1
361,Love hanging out with my dad,1,0
362,@user Thanks for the update Spot. I'm good w/ That. |If you can Post some stuff on this on my blog:,1,0
363,@user oh lordy! Eating out was the hardest or going to someone's place. Esp as I don't eat meat.*eye roll* what can we feed her?,1,0
364,"@user @user Good points, but Republican party can be just as fractured. Together that makes for a disenchanted electorate.",1,0
