醤	酱
靤	皰
㕠	雙
茩	薢
岺	岭
罳	罘
獣	兽
湐	洦
㞧	會
𫝀	五
瑠	琉
𦕓	壻
跴	踩
聝	馘
嫹	媌
朿	刺
陖	峻
櫏	桾
鱻	鲜
𦙿	貺
嚢	囊
倣	仿
𢎯	夷
雑	杂
羢	绒
𫝶	座
鶏	鸡
歩	步
旉	敷
頬	颊
鈫	鈙
𧀹	蔗
𪰄	杠
掻	搔
毱	鞠
嘊	啀
𫞛	㶆
𫎠	賢
豘	豚
窂	牢
蘤	花
𫝨	媈
玜	玒
慙	惭
㟁	岸
桺	柳
岅	坂
硋	碍
賷	赍
鐞	鎒
甠	晴
龝	秋
舮	艫
帀	匝
衺	邪
紪	緀
槑	梅
谸	芊
愸	整
獧	狷
鎒	耨
𫝢	升
𪪨	廩
獘	毙
𫞝	灍
脃	脆
斈	学
樝	楂
㚣	姣
塠	堆
峝	峒
蔕	蒂
噽	嚭
箥	笸
穉	稚
𠋣	倚
庂	仄
詉	呶
巚	巘
孶	孳
𠄞	上
丗	世
汦	坻
蕑	蕳
圑	圃
𥼝	黐
鄥	鄡
匘	脑
擕	攜
韥	韣
趂	趁
畽	疃
𪾙	膿
𪥪	祁
𤜱	豝
睂	眉
侫	佞
𫟞	訨
𪲉	茩
襽	襴
擧	举
衜	道
慿	凭
塡	填
蹨	跈
𫞞	灌
剓	劙
靗	竀
逥	迴
𥞑	秭
跧	蜷
𩻌	鯬
槡	桑
舧	舤
皥	皞
檏	朴
飻	餮
抦	秉
𡚁	弊
𤫊	靈
熋	熊
儹	攒
斾	旆
蝅	蚕
魐	尴
褃	裉
鍿	锱
𧀍	䒼
秶	粢
暱	昵
匛	柩
暬	亵
覍	弁
矴	碇
氼	溺
捄	救
蘓	苏
𫄩	䋦
伂	沛
鶵	雏
舕	舑
熈	熙
儨	质
彛	彝
搃	总
欟	罐
𡨧	宰
岀	出
緧	鞧
畡	垓
𪵉	捏
竮	竛
哰	囒
𪢽	封
硶	碜
𦟾	膒
䱉	鳝
嚉	咄
媇	亲
薭	稗
麘	香
㕈	庡
擹	摊
掲	揭
鐷	鍱
𫠀	䥄
勧	劝
皳	毬
庽	寓
𡰵	屐
曡	叠
踋	脚
嫮	嫭
䬪	馎
崺	峛
敺	驱
幇	帮
緖	緒
僲	仙
悮	误
譔	撰
墬	地
𫅓	羴
渪	濡
眿	眽
𤕤	爽
鷵	鶶
蚸	螇
鴪	鴥
䥴	鐫
琍	璃
摀	捂
脦	肋
洍	汜
幤	幣
炚	光
柾	柩
叏	夬
𫝥	養
匧	篋
砇	玟
窰	窑
卩	节
騨	驒
𩶑	魯
鈟	钓
𤵚	㾃
悜	慏
顨	巽
鸃	鵔
酻	醉
肕	韧
嗸	嗷
皹	皲
歺	歹
蠒	繭
楍	本
𧘐	袥
呍	吽
蘏	絅
𩻳	鯬
䧍	隙
乵	进
𫠚	齣
驑	骝
𪭵	掚
蔮	帼
𠳆	哉
徳	德
餻	糕
栆	棗
騡	駩
囏	艰
𫋒	蛕
𪧥	福
榤	桀
粃	秕
礢	癢
𫝔	堯
絏	绁
廀	廋
帬	裙
秔	粳
昷	温
饚	餀
𢲷	拗
甆	瓷
𪦧	祁
漄	涯
尦	尥
𡆣	㘝
厫	廒
䴡	麗
敍	叙
闙	啓
萕	荠
𢳛	摣
𫞫	畩
坓	阱
蠩	蝫
龫	幹
𠞰	剿
𪯐	揥
搯	掏
𠷠	唘
鐤	鼎
祶	禘
隌	暗
矂	眊
𫝸	彦
逪	错
褀	帺
姪	侄
忄	心
㛐	嫂
荳	豆
刱	创
𫞇	臘
顄	颔
卆	卒
𪣗	振
𪜥	廩
愗	怐
鮏	鯹
𦏁	羲
拕	拖
勈	勇
璍	烨
釡	釜
衂	衄
曯	烛
蟸	蠡
郍	那
緐	繁
菢	抱
鏀	鐪
焅	酷
殠	臭
訮	詽
唕	唣
樬	棇
飡	餐
劸	逼
龱	四
𫝐	前
癏	瘝
薎	蔑
訲	啻
𪭋	哉
𣪕	簋
𫞣	㹽
𫇏	臸
兿	藝
𫟟	詊
熍	焪
㡭	繼
餟	啜
䳈	鴇
釠	乱
隣	邻
𥲃	筘
扥	扽
𠜶	腦
検	检
歞	歁
䟽	疏
潂	洪
絈	帞
闁	褒
𫞐	権
劀	刮
漥	洼
冩	寫
𩪆	體
兠	兜
罇	樽
祘	算
敆	合
軶	轭
亱	夜
萡	箔
𪭓	盟
𫝫	婡
徃	往
栕	桭
泘	滹
艊	舶
𣏪	欆
僽	僝
愹	愑
誯	唱
値	值
挍	校
錬	鍊
𣡖	韛
𪎊	麨
葠	参
秴	耠
𣸼	源
繉	绳
飸	饕
傓	煽
簒	篡
崯	崟
喦	岩
籖	签
礟	炮
尓	尔
旈	旒
圼	㘿
驆	跸
洤	泉
蠎	蟒
躿	躴
𪎆	饠
𨱤	髠
𨔵	遁
𩞣	饕
鴏	玳
薫	薰
幈	屏
𫕇	䧅
𩡭	駁
溬	㳾
𣧘	舛
幚	帮
𣗳	樹
㼆	瑩
𪶄	溡
仮	反
𣑮	楠
玨	珏
㔇	鏺
麤	粗
懓	僾
旪	协
舗	舖
蜋	螂
僴	僩
𫝜	囃
𪱢	胙
鐆	燧
譛	譖
尗	菽
犂	犁
㐫	凶
穏	稳
𪳚	梀
奟	㔙
乊	伊
翖	翕
撁	牵
𢭏	擣
庿	庙
冐	冒
𤎅	熬
羪	養
鴙	雉
侒	安
𫔈	鎙
櫌	耰
讛	呓
眘	慎
満	满
奙	畚
𫞒	櫪
閙	鬧
氊	毡
晧	皓
桘	槌
甽	圳
桜	樱
𢫘	攎
垔	陻
慯	伤
攟	捃
鵍	鹳
㐬	旒
𫟸	鉽
𨵃	閲
雂	鳹
檅	槥
𨀵	撞
郻	鄡
勪	蹻
𫗗	䭩
吢	吣
圗	图
逓	递
麢	羚
𢖲	㤞
𡭴	隙
侰	僒
𪸲	照
歱	踵
捿	栖
鵴	鴶
竗	妙
𧎢	蟘
𨮺	鑙
𠇌	魂
擃	攮
粛	肃
続	续
羄	罩
犲	豺
椗	碇
𣟄	柝
媿	愧
龺	卓
㕯	訥
擮	截
𠯟	哯
𫞉	桺
囧	冏
嵷	嵱
蝿	蝇
劔	剑
齖	牙
裌	夾
乆	久
嵕	嵏
讙	欢
𫠘	鼬
贘	赏
旾	春
岴	岖
榟	梓
錉	鍲
圦	塊
龡	吹
愱	嫉
譍	应
岤	穴
蘎	骥
𫟛	覃
钅	金
亯	享
㦍	愕
敾	缮
帰	归
㛮	嫂
杶	椿
絋	纩
朖	朗
緾	缠
裦	褒
胷	胸
鯵	鰺
朤	朗
眆	仿
鼅	蜘
䠹	骸
樷	丛
淓	汸
篂	箳
𢝲	愁
屵	岸
毎	每
潄	漱
𫀉	恤
遻	遌
壵	壮
崝	峥
髄	髓
𫖐	褘
荘	庄
𣳗	海
𢖼	忒
嫓	媲
綘	缝
蝋	蜡
𫟶	銏
蜵	蜎
褵	缡
𪌩	甜
𫝮	孄
旹	時
澔	浩
𪱛	尹
畂	亩
麞	獐
𫊈	攃
𫠓	鳥
狥	徇
湺	涎
搹	扼
諙	话
橊	榴
雼	宕
萅	春
𥭟	梭
繍	繡
栄	荣
𢖻	愛
酙	斟
猂	悍
𧣈	觸
曒	皦
𫍛	訜
臰	臭
徧	遍
晩	晚
讏	讆
牋	笺
墵	壜
烖	灾
弌	壹
冎	剐
坮	臺
蘂	蕊
挌	格
翺	翱
磮	碖
燿	耀
栞	刊
搾	榨
軇	軂
慽	戚
鬭	斗
貣	贷
喞	唧
𫀲	秛
𫞊	栃
㑩	儸
谺	谽
𫟐	蒡
肎	肯
艹	草
攷	考
藲	櫙
厛	厅
痜	秃
氵	水
尒	尔
訽	诟
頼	賴
𠪲	廑
𤭰	甃
賔	宾
䱄	魪
艶	艳
磎	谿
儧	儹
蠫	劙
燰	煨
竢	俟
谘	咨
弽	韘
傎	颠
囼	胎
豄	渎
醕	醇
𫞾	篦
燫	熑
軣	轰
㳒	法
𫝷	座
冦	寇
踫	碰
頾	髭
蔲	蔻
㛴	惱
泟	浾
伃	倢
钄	镧
伜	倅
傁	叟
釸	矽
蟝	螶
靑	青
蹡	跄
𫖜	穆
𤋠	焰
蕅	藕
敽	敿
剱	剑
𪟍	桶
𪄠	鷘
侎	敉
訧	尤
𪸅	油
湹	瀍
亻	人
擑	接
纎	纖
夶	比
眂	视
爼	俎
礻	示
渖	瀋
勂	告
炨	灺
櫀	棋
萟	藝
㵼	瀉
凴	凭
嶐	隆
駈	驱
曁	暨
礝	碝
唎	哩
迡	遲
帯	帶
孠	嗣
𪪹	勛
屶	会
爑	爝
𣿨	澥
鴌	凤
鐗	锏
摃	扛
歗	啸
偪	逼
𦙍	胤
𦒢	翱
璄	璟
嶣	嶕
癕	痈
軃	亸
鵖	鴔
𫔽	隋
𡓜	墻
耯	穫
厰	厂
𠀉	丘
恖	思
曢	瞭
膆	嗉
𡎓	赫
𤆶	焚
翄	翅
甿	氓
脄	脢
畱	留
燺	熇
霔	澍
齫	齳
蛿	蜭
涙	泪
枏	楠
偀	英
枽	枼
竸	竞
薚	蓫
鱑	鳇
磦	㠒
𫏷	軖
襹	襳
孒	孓
咷	啕
壌	壤
霠	霒
𩩱	髂
壿	蹲
𫌋	裋
毜	毫
慻	眷
睤	睥
颕	颖
軁	偻
叜	叟
旛	幡
禝	稷
湻	淳
輭	软
蹸	躏
閳	阐
筰	笮
炁	气
𣶐	泡
璭	琯
蜳	螴
夑	燮
迯	逃
秌	秋
覉	羈
伖	帑
淛	浙
図	图
嚪	啖
𪾕	浣
㟯	峉
浄	净
崣	嶊
彜	彝
𫝹	念
尫	尪
駦	腾
雧	集
𪯨	產
旑	旖
拝	拜
夝	晴
垨	守
𫎦	贚
麊	麋
蚫	鲍
洜	洛
𫝇	命
𪴸	往
𠀤	竝
𫍱	諯
褏	袖
鎋	辖
様	样
躭	耽
皜	皓
𫞴	祭
鷘	鶒
蠧	蠹
棅	柄
㐂	喜
俛	俯
嘷	嗥
囸	日
賘	赃
柡	栐
灮	光
𩱦	炒
毘	毗
輙	辄
膌	瘠
悺	悹
亣	大
繖	伞
魲	鲈
鎜	盘
鷆	鷏
躶	裸
𫖲	䫟
歓	欢
晜	昆
沍	冱
躼	軂
萞	蓖
巕	孽
覀	襾
暠	皓
㣥	偫
鬙	鬅
辳	农
𢙴	愛
惽	愍
𢃛	帺
偂	前
銕	鐵
癵	癴
捛	旅
𠫎	初
𪰖	瞚
婔	斐
𠛢	割
阣	屹
阾	邻
逷	逖
麐	麟
亜	亚
笟	箍
踲	遁
迊	帀
𢑱	彜
𫟓	莟
惒	和
𪧘	寠
臙	胭
秊	年
澁	涩
撃	击
碪	砧
鵞	鹅
𫟍	苑
鴵	枭
肊	臆
陁	阤
𡈶	雷
醎	鹹
悩	惱
譧	詀
単	单
鼦	貂
𥑩	硇
螤	锺
羮	羹
鑻	襻
燯	爧
虁	夔
夳	太
盫	盦
糥	糯
壊	坏
茤	芰
灻	赤
仏	佛
舝	辖
禞	祰
墢	垡
牎	窗
遶	绕
葅	菹
㐀	丘
絚	緪
嶫	嶪
𫝍	岡
皡	皞
螘	蟻
蛍	萤
臝	裸
鬀	剃
肳	吻
弎	叁
逨	来
矤	矧
屭	屓
罣	挂
𫞺	竊
閇	闭
𠝹	鎅
忎	仁
嬢	爣
驣	腾
駆	驱
𫒝	鋞
啣	衔
譵	懟
𫑭	慶
伷	胄
柕	楙
𠔾	终
𣅲	厥
覔	觅
嚔	嚏
騘	驄
㙪	曀
䨠	靄
臓	臟
碢	砣
禼	偰
闝	嫖
𤇶	烝
䖥	蟊
峢	峛
𫠁	鑉
憜	惰
辝	辞
梙	槵
芌	芋
枀	松
撡	操
蟩	蟨
椶	棕
烉	焕
脴	痞
鷞	鸘
懴	忏
畮	亩
劜	勜
仭	刃
苽	菰
氞	氝
頉	颐
𪺕	系
橕	撑
劗	剪
𫞪	甚
仺	仓
遟	遲
阦	阳
𩸢	鯬
鶔	鶝
菷	帚
饦	馎
𫍷	謉
𪪚	廳
齢	龄
夛	多
兤	晄
𠄟	下
箲	筅
鱏	鲟
夓	夏
𫈇	艽
崫	崛
𫓦	釨
爀	赫
篏	嵌
躙	躏
𫞍	檀
傚	效
𣅞	厥
蓺	藝
㫼	晢
𫝝	嚴
歋	揶
𠫒	源
虝	虎
肀	聿
𫎉	款
觹	觿
訠	矧
曻	昇
𫎧	䝭
傡	併
篛	箬
𫞽	簑
蜙	蚣
廸	迪
卄	廿
輵	轕
𣲝	冰
觾	燕
蝷	蚸
辶	辵
昗	昃
𩍁	鞴
囄	嚟
䏯	痣
𠄐	亇
勄	敏
𪪺	强
脮	鯘
𪡀	嘺
𫟵	鈗
𥫀	歪
韟	臯
塖	塍
鋛	矿
愼	慎
𫅙	犅
鼄	蛛
璢	琉
𥑨	硇
蹱	躘
鋳	鑄
躢	蹋
幉	牒
鬂	鬓
娬	妩
𡏖	壒
軙	陈
镼	䘿
簛	篩
噉	啖
𫞌	椴
𥋎	睸
峠	卡
𪫥	淑
霡	霢
宑	井
忁	儤
磀	礋
襥	襆
蝯	猿
娤	妆
丅	下
𪽾	帛
蘌	篽
鑛	矿
瑯	琅
戹	厄
鐰	锹
絸	繭
凃	涂
殀	夭
噐	器
蟟	蛁
昞	炳
耊	耋
蘲	蔂
𪫳	寧
熴	焜
寚	宝
𩋘	鞋
蝡	蠕
薬	药
凒	皑
㚹	媌
𫔢	關
绬	缨
揷	插
竩	谊
斳	芹
𢎟	彈
藮	樵
𫝈	㑮
冟	适
煡	烬
糛	糖
𪫖	傅
匶	柩
牓	榜
曍	皞
孹	擘
嗁	啼
匵	椟
欛	把
𪬹	憻
䌽	綵
斒	斑
㶶	燶
奌	点
𫞶	撫
栁	柳
隂	阴
傟	慃
羀	罶
匞	匠
觝	抵
駠	骝
𫞬	痙
𫑩	養
靔	天
𪲵	柮
𫅆	緀
𧵴	貯
𡦹	官
斍	觉
𦘝	肅
腏	餟
畕	疆
寈	青
髰	鬄
穯	穑
𠍙	寶
𫝖	麤
敟	典
鬽	魅
盋	鉢
𫕘	疆
坖	忌
箟	箘
𫠔	鴛
㶚	灞
勥	犟
𫜲	龓
骵	體
𫚫	鱢
𥎪	矧
䦙	寺
齓	龀
𩔗	類
褣	褈
噄	吃
𢺞	把
冋	冂
纝	缧
𫃦	組
聫	联
飜	翻
鍫	锹
𠯸	听
𫞗	潣
竜	龙
皶	齇
鱰	鱪
夣	梦
軆	體
翝	翃
𥕕	罅
㜑	婆
橰	槔
凾	函
䙓	襬
阩	升
徰	征
燳	照
蕿	萱
佷	很
𫜒	䴱
䬨	匓
鏫	鑗
瓌	瑰
疎	疏
貭	質
澣	浣
筙	箂
蘯	荡
蓤	蔆
夁	壹
囓	啮
𪠮	搈
粋	粹
慴	慑
鷍	枭
譢	谇
眎	视
𪺏	豢
𫞘	淵
慓	剽
匔	匑
専	专
𤇏	烝
凟	渎
皼	鼓
茠	薅
㴝	黎
騲	草
𫞲	真
蹵	蹴
𪒉	地
鸜	鴝
霊	灵
寛	宽
𠥬	柩
𩏼	䪏
獔	嗥
𪫂	夤
鬉	鬃
䥫	鐵
囯	国
騒	骚
𢊆	歷
嶭	巀
𩞁	靡
賮	赆
籶	籸
佀	似
晳	晰
溨	渽
壀	埤
杴	锨
𠴵	噪
𪧝	密
蘍	薰
訙	讯
悑	怖
靁	雷
鎎	忾
蠷	蠼
飃	飘
𫝣	升
荕	筋
袠	帙
𢥠	愯
刧	劫
蜯	蚌
𫞃	昭
漑	溉
讬	托
𪡃	嘪
痐	蛔
𫞡	爃
圧	压
姟	垓
剏	创
籢	奁
戦	战
尙	尚
膐	膂
巟	荒
頥	颐
筭	算
悪	恶
𡊥	兆
煷	火
硲	峪
𤂑	濃
嵮	巅
䒃	艁
藌	蔤
烡	光
𫝭	孆
錰	鉥
甇	罂
𠇸	佐
癝	凛
㥭	忲
諐	愆
擈	扑
蟁	蚊
趍	趋
頚	頸
搤	扼
墍	塈
𫝓	協
掦	剔
烕	灭
昜	阳
巵	卮
囬	回
𪱳	和
謪	商
嶻	巀
黙	默
槪	概
伵	侐
𠫵	參
鹸	鹼
鷒	鹳
巶	昭
𧙋	只
龮	驥
侌	阴
褝	襌
惖	惕
掽	碰
舡	船
鼈	鳖
欵	款
歮	涩
権	权
𨑸	邇
髨	髡
䃺	磨
晍	曈
㦖	懑
𪱞	膩
篖	筕
肔	胣
𪨘	征
糼	功
麄	粗
訡	吟
堿	碱
澏	浛
𦶟	爇
渕	渊
髞	髝
盁	盈
缷	卸
糱	蘖
呌	叫
噊	谲
檝	楫
鐟	鐕
滺	浟
𢎛	卪
沠	派
𦫼	䒓
亁	乾
𫠐	魽
焼	烧
𫝤	奏
刦	劫
勗	勖
蔐	荻
鬴	釜
𪧳	釐
俽	欣
尲	尴
鍜	铔
煗	暖
𠩄	所
髗	颅
鱞	鳏
𩑎	順
虥	虦
𪠁	郃
醿	醾
畄	留
搨	拓
薻	藻
垇	坳
僧	僧
𤭢	碎
阨	厄
貛	獾
圅	函
𫝁	丣
胢	髂
攅	攒
枿	蘖
鐡	鐵
胑	肢
𠊷	偫
恠	怪
噛	啮
𥓓	碑
麺	麵
亊	事
鵭	鳹
螙	蠹
跀	刖
簬	箘
冴	讶
餹	糖
𠀌	丘
飇	飙
蹆	腿
偐	赝
𧉅	蛜
両	两
襢	袒
霂	霢
𫘇	匹
涁	渗
𫃅	廩
磰	墡
龘	龖
𠀕	亙
讐	雠
𧓉	蠐
攊	擽
墴	隍
𫖶	顅
𫎀	匌
砶	珀
𡖗	鳥
墖	塔
𪓋	䋛
巛	川
坸	垢
脺	脆
簘	箫
颿	帆
澟	凛
婬	淫
𪾏	卣
𪠳	唓
嬹	兴
㿍	疥
𫓜	敦
繊	纖
皃	貌
冨	富
廻	回
踳	舛
𩕄	囟
聼	听
𠥊	箕
朢	望
柟	楠
䰗	鬮
徔	從
迏	达
崏	岷
撹	攪
矀	覹
厵	源
郒	郎
茮	椒
𪱪	滕
譥	叫
鱡	鰂
𪯎	撻
讁	謫
篨	籧
曗	晔
氷	冰
𪠧	拪
喩	喻
藽	櫬
𩻉	䲀
塦	阵
橀	榽
𪯘	撍
櫂	棹
歯	齿
𫝃	爾
𪧇	床
踄	步
纉	纘
邉	边
俼	鬻
𫝄	久
𪯍	挭
蚘	蛔
橓	蕣
琖	盏
磟	碌
兎	兔
𥑪	硇
懽	欢
伕	夫
墎	郭
睠	眷
衪	袘
晄	晃
㠬	巭
辠	罪
㚸	媤
袇	袡
煰	燥
𫄮	䋼
脝	膨
𧎮	蚤
𦣱	赜
䱘	鯬
辧	辨
慇	殷
靌	宝
竒	奇
劎	剑
挗	抉
榎	檟
儫	豪
𫑈	遇
趒	跳
燗	烂
㑷	態
撉	撴
竝	并
𪫘	延
蠏	蟹
𠵓	玄
鈢	玺
蘗	檗
帒	袋
𠭯	揸
𫕃	䦽
杇	圬
灎	滟
扗	在
魗	醜
𪭛	肇
㗑	唄
𫝬	嬇
聨	联
𦛹	胾
渉	涉
夈	斋
𫈐	蓻
涱	涨
髵	髬
𫎎	貳
𫠉	馬
龞	鳖
𪫰	慮
毠	袈
𪯜	廩
毉	医
緫	總
舨	舢
䶏	洟
徣	借
𫗍	孝
𫟁	緞
鑸	鍡
瑉	珉
啔	啓
蜨	蝶
譐	噂
𫓥	釟
坣	堂
捦	擒
竆	穷
溋	盈
頳	赪
厡	原
毃	敲
馫	馨
𩖓	顰
陒	垝
䰪	魅
𫞆	脵
気	氣
厪	廑
戉	钺
蓚	蓨
籝	籯
鼔	鼓
裭	褫
甖	罂
魡	钓
勼	鸠
刄	刃
瀒	涩
𡱆	屬
厐	庞
楳	梅
𫒏	皿
𪠥	有
髥	髯
酭	侑
砨	砈
袬	育
旜	旃
涰	啜
卾	腭
衉	喀
畧	略
𫞏	橋
襃	褒
㑘	价
詸	谜
辪	辥
穅	糠
澘	潸
昸	冬
澙	潟
隿	戈
陥	陷
𢀓	巨
吿	告
𡜪	㛴
𨃉	跱
蘽	藟
𪆓	鷥
𫝵	嶹
𫒊	戟
鬦	鬥
荢	茡
膪	囊
搥	捶
鞛	琫
疂	叠
韮	韭
𪴭	㕷
㨼	掠
読	读
砤	砣
袚	韍
庻	庶
敇	策
𣪺	縠
廃	废
犫	犨
効	效
偧	奓
綤	绍
韒	鞘
蟍	螏
鼡	鼠
髿	鬖
㤑	忧
卪	节
砕	碎
閷	杀
壖	堧
𫠗	鹼
玔	钏
籆	篗
咵	夸
潅	灌
珻	玫
麕	麇
蟖	蛅
渇	渴
𪺚	䰻
濙	濴
𪭎	鬼
倶	俱
渓	溪
檇	槜
缻	缶
㑃	拗
頺	颓
𪾌	閜
𩾴	䲸
𥧦	窖
𪳐	欋
媫	婕
坧	墌
敂	叩
剰	剩
崘	崙
箎	篪
𨤲	釐
鉩	玺
顦	憔
昦	昊
枾	柿
讠	言
冖	幂
虗	虚
𪢬	昆
穐	秋
𧮪	詀
焹	焵
鮉	鲷
欉	丛
聁	盼
𢙢	恐
𪵹	江
𤆌	炎
梸	梨
浖	埒
騈	骈
䑓	臺
鬪	鬥
隵	巇
駇	馼
𪌂	飥
挙	举
𪞓	冟
𧍣	蠆
斮	斫
宻	密
挅	挆
𤣥	玄
𫁤	班
擥	揽
㺅	猴
𫎽	藹
檾	苘
聴	听
聡	聪
纄	蓬
湌	餐
簆	筘
暜	普
圎	圆
褱	懷
