id,text,arts_&_culture,business_&_entrepreneurs,pop_culture,daily_life,sports_&_gaming,science_&_technology
19,Tall Ship Trinket Box by RetroMollyTreasures {{URL}} via {@Etsy@} Stop by {{URL}} for our Labor Day weekend sale 20% off of the entire store!!,1,0,0,0,0,0
20,#PowerNeverEnds. Watch the series premiere of {@STARZ@} ’s Power Book II: Ghost tonight 9/8c on Philo! {{URL}},0,0,1,0,0,0
21,Knocking out all my series early. Watching the season finale of {@P Valley@} . Oh man last night at the Pynk!!! #PValleyStarz,0,0,1,0,0,0
22,The Bucks have to be considered a major disappointment if you look at the last two Playoff years. Is there enough talent there? Maybe a coaching change is required? Giannis might be MVP but the Deer don’t have a Lowry or a Butler. And they need a guy like that. {{USERNAME}},0,0,0,0,1,0
23,The guys at {{USERNAME}} are absolutely right about Brook Lopez being anchor of the Bucks defense,0,0,0,0,1,0
24,Giannis going down might be good for the Bucks. Takes pressure off everyone trying to force him. Let these guys play #NBAonTNT #GoBucks {@Bart Winkler@} {{USERNAME}},0,0,0,0,1,0
25,"Labor Day Weekend... so odd to drive by {{USERNAME}} and there’s very little activity, where it normally be hustling with our County Fair! 2021 can’t come soon enough!  #signofthetimes #countyfair #statenisland #nyc #LDW",0,0,0,1,0,0
26,4 facts + 4 people i wanna know about   i ❤︎ gummies way too much  used to be a paper driver but overcame it because my motion sickness got really bad  drama/movie OST   i ve jumped from the 1st floor of a flat to chase a cat XD  thanks for the tag {{USERNAME}} ^^,0,0,0,1,0,0
27,"Didn’t watch the bucks game today out of superstition, but I’m proud of y’all {@Milwaukee Bucks@} let’s keep going one at a time ",0,0,0,0,1,0
28,Congratulations to {@Victoria Konefal@} on winning the 1st Annual #soaphub awards for favorite #daysofourlives actress  #ciarabrady #dool #nbcdays ✨ {{USERNAME}} #proudpublicist ✨✨ {{URL}},0,0,1,0,0,0
29,The celtics Handled The {@Toronto Raptors@} In Game 5 111-89...I Feel Comfortable Enough To Say I See celtics vs miamiheat In The 2020 Eastern Conference Finals. The {@Milwaukee Bucks@} Have Failed To Create A Postseason Game Plan That… {{URL}},0,0,0,0,1,0
30,"The long weekend is over. Rather than going back to  business as usual,  transform it. Our CEO {{USERNAME}} shares how to go from old to new and from static to dynamic. {{URL}} (via {@The Wall Street Journal@} )",0,1,0,0,0,0
31,I spoke to ESPN about the air quality issues that the West Coast is facing and their impact on sport. Also some great quotes from other experts including {{USERNAME}} of the {{USERNAME}} . {{USERNAME}} {@University of South Carolina@} {{URL}},0,0,0,0,1,0
32,I’m proud to be apart {{USERNAME}} man we suffered long enough through our down years I still cringe remembering those bad starting lines but we made it onward to the western conference finals #lakeshow,0,0,0,0,1,0
33,Mix - Secret Runner - GMO vs K-Wave ( Trance Red Zone - Secret Runner ) {{URL}} via {@YouTube@} “I am the King” Sharukh,0,0,1,0,0,0
34,‘After 10 years: Lakers back in Western Conference finals’ {{URL}} via {{USERNAME}},0,0,0,0,1,0
35,Y all! I m back on twitter just to say the {@Los Angeles Lakers@} are going to the Western Conference Finals! That is all...,0,0,0,0,1,0
36,Lakers Advance To Western Conference Finals After Blowout Win In Game 5 {{URL}} {{USERNAME}} #ByTheNumbers,0,0,0,0,1,0
37,JV Gallego has received his release papers from NU and is now enrolled with San Beda. He will undergo a one-year residency (two semesters) before he can officially suit up for the Lions. | {@Joey Villar@},0,0,0,0,1,0
38,Sources Re Air Quality: {@Dallas Cowboys@} (pic) Plan To  Stay & Play  In LA vs. #Rams {{URL}} via {@Sports Illustrated@} {@The MMQB@},0,0,0,0,1,0
39,Check out what I just added to my closet on Poshmark: San Francisco Tote Bag Canvas. {{URL}} via {@Poshmark@} #shopmycloset,0,0,0,1,0,0
40,Jared hits approach  just right of the flag in good position {{USERNAME}} {{USERNAME}} {{USERNAME}},0,0,0,0,1,0
41,"The #DaBears take on the Lions at 12:00 p.m. CDT today! Before kickoff, be sure to get your preview and X-Factors for today s game! {{USERNAME}} {{URL}} ",0,0,0,0,1,0
42,Ready to see the {@LA Clippers@} get the W tonight and make the conference finals for the FIRST TIME IN HISTORY‼️ #ClipperNation #BoldApproved,0,0,0,0,1,0
43,Watch Kawhi (36 PTS in Game 5) warm up as his {@LA Clippers@} look to advance to their first-ever Western Conference Finals! #NBAPlayoffs   : LAC/DEN at 1 PM ET on ESPN  Music by {@UnitedMasters@} {{URL}},0,0,0,0,1,0
44,Sending love to {@Lisa Argen@} {@Liz Kreutz@} {@Kumasi Aaron ABC7@} in San Francisco,0,0,1,0,0,0
45,“I have $50 on the cowboys tonight” - El Filosofo {{USERNAME}},0,0,0,0,1,0
46,The Tampa Bay Lightning signed Alex Green to an entry-level contract {{URL}} via {@Raw Charge a Champa Bay Lightning web site@},0,0,0,0,1,0
47,I made the Lions -2.5 my double down pick.   How do you live through this {{USERNAME}} ?,0,0,0,0,1,0
48,Jamie Collins head was down and the ref moved his shoulder into it. Terrible ejection. But it’s the lions so it’s fine ‍♂️ {@NFL Officiating@},0,0,0,0,1,0
49,Somebody tell {@Scott Hanson@} about the {{USERNAME}} - Green Bay does so have its own baseball team.,0,0,0,0,1,0
50,So hopefully the neighbors don t let off fireworks after the {@Seattle Seahawks@} win cause of the air quality and the burn ban,0,0,0,0,1,0
51,Remember that time the {@LA Clippers@} were determined to never make the conference finals? #Clippers #NBAPlayoffs #fail,0,0,0,0,1,0
52,✅ {@Krispy Kreme@} for breakfast. ✅ Football starts ✅ Red Zone Channel all day ✅ {@Blaze Pizza@} for dinner  #bestDayEver,0,0,0,0,1,0
53,I’m actually interested in seeing {@Aldon Smith@} return to the {@NFL@} with the Cowboys I truly hope he do well tonight,0,0,0,0,1,0
54,First half photos by {@Dirk Shadd@} from Tampa Bay Bucs season opener at the Saints {{URL}},0,0,0,0,1,0
55,"San Francisco Giants OF Alex Dickerson had a long weekend, cleared to play after positive test.  by {@Janie McCauley@} {{URL}} ",0,0,0,0,1,0
56,i m so pumped to watch {@CeeDee Lamb@} play with the Cowboys,0,0,0,0,1,0
57,Watch {@Rodney Howard Browne@}  s broadcast: The Gift of Faith - Part 2 - the Main Event at the River at Tampa Bay | Day 100 {{URL}},0,0,0,0,1,0
58,"NBA: Lakers overwhelm Rockets, advance to conference finals {{URL}} via {@ABS CBN News@} ",0,0,0,0,1,0
59,Check out 1958 Topps Baseball Card TCG #263 Eddie Bressoud San Francisco Giants VG #sfgiants {{URL}} via {{USERNAME}},0,0,0,0,1,0
60,"2020 started with #GoStars beating the #Preds in the Winter Classic, and now we get to watch as Corey Perry gets a step closer to raising the Stanley Cup.  So thank you 2020 for a REAL DOPE year.    Also Stats! {{USERNAME}} {{USERNAME}} • {{USERNAME}} {{URL}} ",0,0,0,0,1,0
61,"Saints defense was dinged for 4 missed tackles in Week 1, tying the Texans and Colts for the 6th fewest in the NFL  Saints defense credited with 8 pressures (3 sacks), a pressure rate of 20%. Ties Rams for 14th worst in Week 1  per {@ProFootballReference@} ",0,0,0,0,1,0
62,Yo skip {@Skip Bayless@} stop talking man talk about the cowboys or tump you trynna jinx the lakers {@LeBron James@} won’t let it happen tell himmm {@shannon sharpe@},0,0,0,0,1,0
63," I m really happy for the boys. It was about them this week, not me.  Cringila s Paul Michlmayr has enjoyed a perfect start to his {{USERNAME}} Premier League coaching career, as the Lions secured a 5-3 victory over {{USERNAME}} tonight. Story: {@Josh Bartlett@} {{URL}} ",0,0,0,0,1,0
64,Tampa Bay s Jon Cooper against Dallas  Rick Bowness is the 1st Stanley Cup Final in NHL history to feature a coach facing a former assistant. {@Stephen Whyno@} {{URL}},0,0,0,0,1,0
65,Playing on Satelite with the boys yesterday and {{USERNAME}} goes  It s supposed to be the Cold War and there s no snow,0,0,0,0,1,0
66,Stanley Cup Final Game 1 Live Blog: Lightning vs. Stars Sent with {@NHL@} {{URL}},0,0,0,0,1,0
67,New Video: {{USERNAME}} releases the visual for the Vitto_Himself produced track  Tap Dancing  featuring Illy Fontaine. {{URL}},0,0,1,0,0,0
68,iOS 14 literally gave me the keys to ignoring unwanted calls and carrying on as if nothing happened. Thank you {@Apple@},0,0,0,0,0,1
69,The  and the {@Dallas Stars@} will win game 1 of the Stanley Cup final!!  Let’s go boys!,0,0,0,0,1,0
70,so {@Elizabeth Gillies@} what does your IOS 14 phone look like?,0,0,0,0,0,1
71,I entered this {@SuperM@} #sweepstakes on #tunespeak. Follow the link below to enter & help me win. {{URL}},0,0,0,1,0,0
72,I don t I will be so active for the next few hours since me friend is coming over so yea spam me here person who spams the most gets a prize :) {{USERNAME}} spam me in dms that I have to give u da prize is am ty :),0,0,0,1,0,0
73,"I listen to The Line x {@dvsn@} like I’ve never heard it, EVERYTIME .",0,0,1,0,0,0
74,"Please help us, Expat Properties of Bangalore {{USERNAME}} #Scam #Fraud have cheated thousands of investors total worth crores. #BigExpatScam. I have invested 7.25 lakhs in 2013 and no reply from Expat. I registered my grievance online with docket no: 2230713. Help {@Ravi Shankar Prasad@} ",0,1,0,0,0,0
75,"Bring back the boy {@Ronald Koeman@} .Assure him first team starts and see wonders,the boy is better than any of our current midfielders...",0,0,0,0,1,0
76,Nice project developed by Swapneel Redkar. {{USERNAME}} See the link  {{URL}},0,1,0,0,0,0
77,#Glamberts {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} New Video coming later.....,0,0,1,0,0,0
78,U13 track and field group back in this morning also nice to have Kobey popping in with his dad to get an extra bit of work in! ⚽️ {{USERNAME}} {@South Shields FC@} {{URL}},0,0,0,0,1,0
79,I just took a few hours break from the internet and now I am missing a lot of stuff I didnt even know jk went live    Ahhh {@BTS_twt@} army struggles,0,0,1,0,0,0
80,#bhafc {@Brighton Hove Albion@} no commentary on the app or website today?,0,0,0,0,1,0
81,Earning gift cards for selling my stuff on {@Listia@} ! Join me using code  BBDBPG  for an extra 250 PTS. I just listed this: LARGE KANSAS CITY LOGO MAGNET (PLEASE READ DESCRIPTION) {{URL}},0,1,0,0,0,0
82,"Hi {{USERNAME}} , we are currently conducting some research around the food stall business in the UK and would love it if you were able to spare a few minutes to complete the survey in the link below, would be great to have your input!!   {{URL}} ",0,1,0,0,0,0
83," I started meditation and began to focus on some of the fun things I could do to prep for the baby. I felt myself coming back to normal, and saw it was helping me be more productive during the day too.  Congrats, {{USERNAME}}  #meditation {{URL}} ",0,1,0,0,0,0
84,Stanley Cup Final: The Tampa Bay Lightning Must Regroup Following Game 1 Loss to the Dallas Stars .... by {{USERNAME}} {{URL}},0,0,0,0,1,0
85,COVID study by Harvard Medical School & others. We only need 320 more people to get an estimate for St. Louis County. Please help by taking 1 min/day to report how you feel. CC: {{USERNAME}} {@Rep Jennifer Schultz@} {@Liz Olson@} {{USERNAME}} Download the app: {{URL}},0,0,0,0,0,1
86,A new video by {{USERNAME}} {{USERNAME}} The Rational National: Biden s Town Hall: How Did He Do? {{URL}},0,0,1,0,0,0
87,A new video by {@Lee Camp Redacted@} Moment Of Clarity with Lee Camp: 5 Hidden Facts About Ruth Bader Ginsburg & The Supreme Court (Moment of Clarity) {{URL}},0,0,1,0,0,0
88,#NowPlaying  I Was Never Here (Remix) - {{USERNAME}} #MICCratesRadio   Download the app. @ {{URL}} Submit your music today!,0,0,1,0,0,0
89,The iOS 14 Privacy and Security Features You Should Know #secureyourphone #privacy #bigbro {{URL}} via {@WIRED@},0,0,0,0,0,1
90,Rooting for the Dallas Stars in the Stanley Cup finals for my boy {{USERNAME}} !,0,0,0,0,1,0
91,I know I missed #tbt....but this  is throw back to the last time the Lightning were in the Stanley Cup! Later won it {@Tampa Bay Lightning@} #gobolts {{USERNAME}} {{URL}},0,0,0,0,1,0
92,"9:07 3Q | #Baylor 31, #Kansas 7  John Lovett off tackle from 7 and the Bears are rolling #Big12FB {{USERNAME}} {{USERNAME}} ",0,0,0,0,1,0
93,"Ha! Power just went out for the {@Los Angeles Angels@} @ {@Los Angeles Dodgers@} game. Yesterday, it was the fire alarm.",0,0,0,0,1,0
94,Hats off to the Denver Nuggets {@Denver Nuggets@} for playing Great NBA basketball through series. You have earned your respect & put the league on notice that you are a force to be reckoned with.  #respect,0,0,0,0,1,0
95,"#Atlanta activist spent $200G in Black Lives Matter donations on house, personal expenses: FBI. {{URL}} via {@Google News@} ",0,0,1,0,0,0
96,Yo no gas I m so happy Izzy & My Polish Brick House came mad correct in the fight bubble! Bout that action finally  #UFC253 #IzzyLikeThatFrFr {@Israel Adesanya@},0,0,0,0,1,0
97,"rap line shading the guys who broke their hearts & then, vocal line coming through slapping us with emotions in  Love sick girls . {@BLACKPINKOFFICIAL@} ",0,0,1,0,0,0
98,Public Trust Feature Film | The Fight for America’s Public Lands by {@Patagonia@} {{URL}},0,0,1,0,0,0
99,Hamilton being panished for his black lives matters {@Mercedes AMG PETRONAS F1 Team@} #RussianGP #F1,0,0,0,0,1,0
100,The latest The Fire safety Daily! {{URL}} Thanks to {{USERNAME}} {{USERNAME}} #onpoli,0,0,0,1,0,0
101,"Stadhampton 11-1 {{USERNAME}} , the league newcomers were put to the sword by a rampant Staddy with goals from Joel Akrill X 6, Dean Parrott, Steffen Thomas, Hama, Max Wilkinson and Jason Spraggs. MOTM, the Staddy stalwart Grant Brown",0,0,0,0,1,0
102,I will never understand why Newcastle went for Bruce over Benitez #TOTNEW #coyg #afc {@Arsenal@},0,0,0,0,1,0
103,"Dundalk away later today, we could take a huge step towards winning the league with 3 points in Oriel! Cmon {@Shamrock Rovers FC@} ☘️ #RoversReport",0,0,0,0,1,0
104,Lanthorne FC 9-0 Chandler Wells    Confident display from the boys and our biggest win to date. Solid at the back and clinical going forward. 100% record intact and top of the league we go!  ⚽️ {{USERNAME}} x3 {{USERNAME}} {{USERNAME}} x3 {{USERNAME}} x2   {{USERNAME}} #UTL,0,0,0,0,1,0
105,Cars have hit Black Lives Matter demonstrators 104 times since George Floyd protests began {{URL}} via {@Yahoo@},0,0,0,1,0,0
106,Starting The Bears Defense Vs Falcons Today in my Yahoo League {@ESPN@} {@NFL@},0,0,0,0,1,0
107,the {@Pittsburgh Steelers@} are supposed to have one of the best defenses in the league they sure don t look like it today. running game terrible Connor has got to go.,0,0,0,0,1,0
108,Sooo the 120 new songs come out at midnight???? I guess that means I’ll be up all night again ( {{USERNAME}} ),0,0,1,0,0,0
109,White Sox: Please leave Lopez out of the rotation for the rest of the season. He just can’t be trusted. {@Chicago White Sox@} 6-0 Cubs in the second. With the Bears getting drilled this is a bad day.,0,0,0,0,1,0
110,. {@Mike Ryan Ruiz@} {@Dan Le Batard Show with Stugotz@} {{USERNAME}} {@Jon Weiner@} {{USERNAME}} Tedd Ginn is on the Bears???,0,0,0,0,1,0
111,I have been in Chicago longer than {{USERNAME}} . I should be the one coaching the bears.,0,0,0,0,1,0
112,Sometimes I am wondering if Trump isn’t a Hydra operative. It would all make sense! {@Captain America@} and {@Iron Man@} can show up anytime now!,0,0,1,0,0,0
113,"Dan Quinn%27s Falcons blow another double-digit lead in loss to Nick Foles, Bears {{URL}} via {@Yahoo Sports@} ",0,0,0,0,1,0
114,I’m finding {@Twitter@} to be much worse without {{USERNAME}} and still don’t understand why he was banned. Cc. {@Twitter Support@},0,0,0,1,0,0
115,"Picking up some good stuff (@ Joe - {{USERNAME}} in New York, NY) {{URL}} ",0,0,0,1,0,0
116," When the jungle was open, I rolled in with the riders Stole food from the bears, and brought it back to the lions Hold court with the apes, I m a gorilla but lighter Got the eye of a tiger, the heart of a fighter   - {@Lil Wayne WEEZY F@} - Tha Mobb #LilWayne #bars #rap",0,0,1,0,0,0
117,"given that {@Beatport@} has devoted 12 different genres to house music, it would be amazing if they could give one to  electro ! electro is always totally lost on Beatport, and it would really make sense that they add this genre as it deserves it! {{URL}} ",0,0,1,0,0,0
118,"Cause ah, ah, I m in the stars tonight So watch me bring the fire and set the night alight {@BTS_twt@} #BTS1onHot100 #ShiningthroughHOT100 #LifeisDynamite",0,0,1,0,0,0
119,The fight against Covid-19 and climate change are a united battle {@Climate Reality@} {{USERNAME}} #LeadOnClimate {{URL}},0,0,0,0,0,1
120,So watch me bring the fire and set the night alight  I vote for #Dynamite under #TheMusicVideo category at #PCAs 2020 {@BTS_twt@},0,0,1,0,0,0
121,"Cause ah,ah,i m in the stars tonight so watch me bring the fire and set the night alight  Shoes on get up in the morn cup of milk lets rock and roll  Sambung lirik lanjutkan guys   I vote #Dynamite under #TheSong Category at  #PCAs  2020 {@BTS_twt@} ",0,0,1,0,0,0
122,"Cos I-I-I m in the stars tonight, so watch me bring the fire and set the night alight! I vote #Dynamite for #TheMusicVideo category at #PCAs 2020 {@BTS_twt@} ",0,0,1,0,0,0
123,bribg the fire  I vote for #BTS under #TheGroup category at the 2020 #PCAs {@BTS_twt@},0,0,1,0,0,0
124,So watch me bring the fire and set the night light  I vote for #BTS under #TheGroup category at the 2020 #PCAs {@BTS_twt@},0,0,1,0,0,0
125,so watch me bring the fire and set the night alight  I vote #Dynamite for #TheSong category at #PCAs2020 2020 {@BTS_twt@},0,0,1,0,0,0
126,The was telling me to shut up and down speak. {@Andrew Holness@} is this the way persons should be treated after an ancient?,0,0,0,1,0,0
127,The fortune teller told me  the power s in your mind  {@KATY PERRY@} #KatyPerry #Smile #nottheendoftheworld,0,0,1,0,0,0
128,The problem with #MSM is that they give #Farage prime airtime. He’s pointless and highly divisive. Why are you giving him prime airtime {@Sophy Ridge@} ????,0,0,1,0,0,0
129,Vibrant Colored Stars Party Celebration - Fabric Face Mask Covering Adjustable {{URL}} via {@Etsy@} #facemasksforsale #facemask #facecoverings #partymask,0,1,0,0,0,0
130,"“Music is a dead man’s heartbeat. It can interleave your atoms with the stars. A chemical. It will not be described.”   Dear {{USERNAME}} & {{USERNAME}} , Orsino’s Dilemma has been swirling in my head all week. What gorgeous music to such stunning words. Hope you’re both well!",0,0,1,0,0,0
131,"Poetry: today the poem {{USERNAME}} is  How to Not Be a Perfectionist  by Molly Brodak and at {{URL}} it is  In Spite of Everything, the Stars  by Edward Hirsch.",1,0,0,0,0,0
132,"Groom Face Mask, Wedding Mask, Choice of Tie, Bow Tie Mask, Gr by Pennypillowsanddecor {{URL}} via {@Etsy@} ",0,1,0,0,0,0
133,I rated Shawn Mendes - Wonder on {{USERNAME}} ! Vote & get this song played! {{URL}} false,0,0,1,0,0,0
134,TCU soccer stays undefeated with win over Iowa State | {{USERNAME}} {{URL}},0,0,0,0,1,0
135,Sunday vibes. Can t wait to get back out there and play this live again. Stay safe snd check out {{USERNAME}} on {@bandcamp@} and all streaming services. #diypunk #punkrock {{URL}},0,0,1,0,0,0
136,"Unreal, have a fantasy team with Chubb and Eckler in it, both injured joining most of my other players. Wish them both a speedy recovery, too many good players going missing this season. {@NFL UK@} {@NFL@} ",0,0,0,0,1,0
137,Blue Paw Prints Face Mask for Kids with Ear Savers. Handmade Face Mask for Kids. Reusable Face Mask for Kids. {{URL}} via {@Etsy@} #kidsfacemask #handmade #etsycanada,0,1,0,0,0,0
138,Iowa State returns to Amway Coaches-USA Today football poll {{URL}} via {@Des Moines Register@},0,0,0,0,1,0
139,"I understand the circumstance, but jumping up into {@Tom Brady@} ’s  arms for him to catch anyone seems risky at best. Y’all screaming to throw the old man’s back out.  #Chargers #Bucs #Nfl",0,0,0,0,1,0
140,#TrishIntel w {@Trish Regan@} podcast via {@Spotify USA@} President Trump + First Lady Melania have #COVID19  Join us in wishing them both a speedy recovery {{URL}},0,0,1,0,0,0
141,OMG {@Rod Chester@} - one of the stars of Gilmore Girls on {@The Today Show@} this morning - cancel your plans:),0,0,1,0,0,0
142,Briggs AP vote: How long can Iowa State keep Matt Campbell? {{URL}} via {@The Blade@},0,0,0,0,1,0
143,Happy #WorldSpaceWeek {@NASA@} {@Blue Origin@} {@ULA@} {@SpaceX@} {@Elon Musk@} {@Rocket Lab@} and all the other organizations that bring us that much closer to the stars and launch satellites for the betterment of all humans!,0,0,0,0,0,1
144,THE Cyclones will have a chance to separate themselves from the pack this month.  Iowa State s remaining October schedule:  10/10 vs TTU (2:30 P.M. on {@Local 5 News@} )  10/17- BYE  10/24- @ #10 OK State (TBD)  10/31- @ Kansas (TBD),0,0,0,0,1,0
145,"Hi My RCB team, {@Virat Kohli@} RCB is been great this year the problem is consistency and dependency on Kohli and AB  playing 11 with batting order- 1. Paddikal 2. Finch 3. Kohli  4. Gurukeerath Mann 5. ABD 6.Negi/Dube 7.Chris Morris 8.Sundar 9. Isuru Udana 10. Chahal 11 Saini",0,0,0,0,1,0
146,I wonder... if i will ever meet Shawn Mendes {@Shawn Access@} {@Shawn Mendes@} #Wonder {{URL}},0,0,1,0,0,0
147,"I don’t know about anybody else, but I’m looking forward to watching {{USERNAME}} debate the moderator on 10/15.  #CommonSense  #PresidentialDebate2020",0,0,0,1,0,0
148,Everything you need to know about {@AJ McLean@} on “DWTS” (Updated 10/5 @ 11:45 p.m.) {{URL}} #dwts #ajmclean,0,0,1,0,0,0
149,Mortal kombat little known to {@Ed Boon@} and {@John Tobias@} is real but its every 1000 years the elder gods wage war here on earth for the power over us mortals.,0,0,0,0,1,0
150,"Coming up on The Crossover {{USERNAME}} 97.3FM {@1440 101 9 WNFL@} Green Bay We finish our Bracket in {{USERNAME}} Pie in the Sky Oven Contest, he almost shot a 58, plus 1st Quarter NFL Awards and a shot at $1000 {@Dario Melendez@} {{USERNAME}} {{URL}} ",0,0,0,0,1,0
151,Take the Bucs out of your top 10. This is pathetic to watch {@Colin Cowherd@} they’re going to get rolled next week by Green Bay.,0,0,0,0,1,0
152,"Calling it now -  Will you shut up man  and/or  Mr. Vice President, I m speaking  are gonna be right before drops in {@Two Friends@}  s BBM 18",0,0,1,0,0,0
153,"Someone please explain why my local Fox {@NFL@} game (in Charleston, SC) is Raiders vs Chiefs tomorrow?   How is that local compared to the Steelers vs Eagles game? Makes no sense to me.",0,0,0,0,1,0
154,"Yo guys, you’ll go watch {@Meek Mill@} new movie “Charm City Kings” the young man is doing the most. I highly recommend this movie for everyone! Stay Strong Meek!",0,0,1,0,0,0
155,The ppl dem come right out with the questions yow {@Rohan Perry@}   Festive bad,0,0,1,0,0,0
156,{{USERNAME}} can you please send me the link for bts concert. I ll be grateful . Thank you Borahae,0,0,1,0,0,0
157,Im going to live for bts concert at my ig {{USERNAME}} now!!,0,0,1,0,0,0
158,"I wasn t able to watch #PrettySavage performance yesterday but i saw a lot of tweets that they don t like the choreo. For me tho, I HONESTLY LOVE IT. THE CHOREOGRAPHY WAS SO FULL OF SASSINESS. It s  and PRETTY SAVAGE INDEED. {@BLACKPINKOFFICIAL@} ",0,0,1,0,0,0
159,Wow post concert depression is real but post BTS concert depression is a whole other level    Thank you {@BTS_twt@}   #MapOfTheSoulOne_D2  #MAP_OF_THE_SOUL_ONE,0,0,1,0,0,0
160,SO {{USERNAME}} and I watched the BTS concert together and Im very emotional because my best friends got me tickets to this concert but it was cancelled due to covid but I...got to see it and Im so grateful ❤️,0,0,1,0,0,0
161,Wow my heart si so full  Thank you {@BTS_twt@} for working so hard to make us happy all the time and for your constant undying love.  Borahae!  #MapOfTheSoulOne,0,0,1,0,0,0
162,"#BTSconcert {@BTSofficial@} {@BTS_twt@} This may be the only BTS concert I ll ever attend but they were so uplifting ,honest,kind and Humble. I have so much gratitude in my heart for RM,Jin,Suga,J-Hope,Jimin,V and Jungkook. You are all truly angels on earth and what we need right now.",0,0,1,0,0,0
163,#MapOfTheSoulOne_D1 #MapOfTheSoulOne_D2 this was the best concert I have ever been to ... I’ve never seen bts concert in person but this made me feel like I was part of that ARMY ocean. The performances were incredible. I will never forget this  {@BTS_twt@} {{USERNAME}},0,0,1,0,0,0
