id,text,anger,joy,fear,sadness
48,I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter,1,0,0,0
49,People irritate my MF soul,1,0,0,0
50,Im so angry 😂🙃,1,0,0,0
51,People fuckin irritate me,1,0,0,0
52,"@leesyatt you are a cruel, cruel man. #therewillbeblood #revenge",1,0,0,0
53,That way ur so angry you can literally feel ur blood boiling,1,0,0,0
54,@KatzeAnilothei this amount of greedy mooching makes me snarl.,1,0,0,0
55,My mind is raging and i just want to end it all,1,0,0,0
56,Absolutely fuming that some woman jumped into my prebooked taxi and drove off 😡,1,0,0,0
57,I'm nothing but a hateful and bitter fag,1,0,0,0
58,@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,1,0,0,0
59,@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!,1,0,0,0
60,@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,1,0,0,0
61,@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,1,0,0,0
62,So angry I wanna cry😢😢😢,1,0,0,0
63,OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH ,1,0,0,0
64,Boycotting @DunkinDonuts till butter pecan comes back. I am furious,1,0,0,0
65,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",1,0,0,0
66,my mom cut my phone off and I'm so furious 🤗,1,0,0,0
67,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,1,0,0,0
68,can't believe Achilles killed me! #angry,1,0,0,0
69,I lost a couple niggas I want revenge so put me in coach,1,0,0,0
70,@mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you 😕,1,0,0,0
71,Where's your outrage when a black man kills another black man in the streets?,1,0,0,0
72,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,1,0,0,0
73,Absolutely fuming I've just scratched all my car 😡😡😡😡😡😡,1,0,0,0
74,@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying,1,0,0,0
75,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.  #mad ##,1,0,0,0
76,I dislike people who get offended by the littlest shit .,1,0,0,0
77,"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5",1,0,0,0
78,"@justyne_haley it does. if one person ruins season 13 for me, I will be so angry",1,0,0,0
79,"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",1,0,0,0
80,@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,1,0,0,0
81,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended,1,0,0,0
82,"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",1,0,0,0
83,Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer #angry,1,0,0,0
84,but that was a mistake and a half assed excuse and now here i am burning in hell forever,1,0,0,0
85,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,1,0,0,0
86,@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,1,0,0,0
87,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder",1,0,0,0
88,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! ,1,0,0,0
89,@ChurdAllan fucked my coupon that goal! #raging,1,0,0,0
90,LVG bribed all the refs against Utd for his own personal revenge. That was a foul you prick.,1,0,0,0
91,"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room",1,0,0,0
92,Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18,1,0,0,0
93,Your twitter picture just makes me fume.,1,0,0,0
94,"@leesyatt you are a cruel, cruel man. #therewillbeblood ",1,0,0,0
95,"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",1,0,0,0
96,"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",1,0,0,0
97,@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay,1,0,0,0
98,I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,1,0,0,0
99,@politico @realDonaldTrump another angry white man!,1,0,0,0
100,Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,1,0,0,0
101,"The majority of people irritate the fuck out of me, cba with people ahahah",1,0,0,0
102,@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!,1,0,0,0
103,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,1,0,0,0
104,@kingvee_ don't provoke me to anger,1,0,0,0
105,You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,1,0,0,0
106,Bloods boiling,1,0,0,0
107,"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",1,0,0,0
108,@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,1,0,0,0
109,I swear if @devincameron23 blocks me I'm going to hit her back ,1,0,0,0
110,"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",1,0,0,0
111,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage,1,0,0,0
112,I'm just a fuming ball of anger today 🙃,1,0,0,0
113,I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.,1,0,0,0
114,@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry,1,0,0,0
115,A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming,1,0,0,0
116,Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,1,0,0,0
117,angry already,1,0,0,0
118,... flat party and I instantly get bollocked about it. #fuming,1,0,0,0
119,@XemitSellsMagic add tracking but resent them,1,0,0,0
120,@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,1,0,0,0
121,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",1,0,0,0
122,"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage",1,0,0,0
123,@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town,1,0,0,0
124,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!,1,0,0,0
125,Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO,1,0,0,0
126,@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome,1,0,0,0
127,I just love it when people make plans for me without actually including me in this process #rage,1,0,0,0
128,"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",1,0,0,0
129,"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",1,0,0,0
130,@edquinn63 how can you even forget to pick ur fave child up from school #offended,1,0,0,0
131,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road #rage,1,0,0,0
132,@soyoprincess they irritate me. Them and their inch thick made up masks,1,0,0,0
133,@ChurdAllan fucked my coupon that goal! ,1,0,0,0
134,How was Natalie one of the top three favorites?! #toofaced and #bitter 🙄,1,0,0,0
135,@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,1,0,0,0
136,@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky,1,0,0,0
137,"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",1,0,0,0
138,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!,1,0,0,0
139,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,1,0,0,0
140,All hell is breaking loose in Charlotte. #CharlotteProtest #anger #looting,1,0,0,0
141,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,1,0,0,0
142,i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN,1,0,0,0
143,testing #angry,1,0,0,0
144,@WatcherDev @WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard,1,0,0,0
145,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. #furious,1,0,0,0
146,i was angry.,1,0,0,0
147,That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,1,0,0,0
148,@cineworld 'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious 😡,1,0,0,0
149,@tmz @HarveyLevinTMZ   Hell hath no fury like a women scorned.    It's the affair.  Not the parenting,1,0,0,0
150,straight people are canoodling on the quad and I'm #offended,1,0,0,0
151,"I can definitely feel my irritation today, lord give me strength",1,0,0,0
152,@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄,1,0,0,0
153,When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms,1,0,0,0
154,@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! #fuming,1,0,0,0
155,I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America.\n\nThey're poor refugees!\n\n#InYourNeighborhoodNotDC,1,0,0,0
156,@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop,1,0,0,0
157,@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,1,0,0,0
158,Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen.  #loathing,1,0,0,0
159,"@mdivincenzo9 he's stupid, I hate him lol #bitter",1,0,0,0
160,@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,1,0,0,0
161,"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",1,0,0,0
162,People irritate me 🙄,1,0,0,0
163,Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope,1,0,0,0
164,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep ",1,0,0,0
165,I swear if @devincameron23 blocks me I'm going to hit her back #revenge,1,0,0,0
166,@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 #fuming,1,0,0,0
167,@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the #outrage,1,0,0,0
168,"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. ",1,0,0,0
169,Does she really need to pout all the time - getting on my nerves #GBBO,1,0,0,0
170,Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp,1,0,0,0
171,@snowangel415 @cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...,1,0,0,0
172,"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter",1,0,0,0
173,"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.",1,0,0,0
174,@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,1,0,0,0
175,Forgot to eat dinner and now I'm furious with everything and everyone,1,0,0,0
176,the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap 🤗,1,0,0,0
177,"@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",1,0,0,0
178,Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops,1,0,0,0
179,@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines  #con!,1,0,0,0
180,You a fuck boy if you run drag routes back to back in madden,1,0,0,0
181,I got fever highs\nI got boiling blood,1,0,0,0
182,@canada4trumpnow @donlemon he has BAD TEMPERAMENT #tantrums #HissyFits,1,0,0,0
183,I can't even right now #bb18 #rage,1,0,0,0
184,"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",1,0,0,0
185,Why are people that don't have iPhones so bitter about iPhones???? Can someone explain,1,0,0,0
186,@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,1,0,0,0
187,@deshbhakthoon always unhappy and easily offended.,1,0,0,0
188,"@SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it",1,0,0,0
189,All hell is breaking loose in Charlotte. #CharlotteProtest  #looting,1,0,0,0
190,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA  #oldcunt,1,0,0,0
191,Half of Epicenter is shut down its police all over y'all I just burst out in tears this is fucking terrible #KeithLamontScott,1,0,0,0
192,Not giving a fuck is better than revenge.,1,0,0,0
193,@winksahoy we about to get shit on by the wrath of winter out of nowhere,1,0,0,0
194,@GrxjicTank WHY though! Why did u want to offend Americans?,1,0,0,0
195,@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the ,1,0,0,0
196,@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,1,0,0,0
197,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address  #poorcustomerservice,1,0,0,0
198,Thought the Xbox one s madden bundle would come with a physical copy of madden not a code😴 it's gonna take fucking forever to download lol,1,0,0,0
199,@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits,1,0,0,0
200,#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.,1,0,0,0
201,The new gun emoji in iOS10 is not enough to show the anger I have towards a number of things.,1,0,0,0
202,@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby,1,0,0,0
203,I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,1,0,0,0
204,Forever angry that gh ruined Molly and morgan's bond/friendship #bitter,1,0,0,0
205,Spurs radio commentator referred to Mauricio Pochettino as 'MoPo' and I felt a sudden surge of rage.,1,0,0,0
206,@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage,1,0,0,0
207,Can't believe I've only got 2 days off left 🙄 #backtoreality #raging,1,0,0,0
208,@Austin4evaLEEDS fuming!,1,0,0,0
209,Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,1,0,0,0
210,Ever put your fist through your laptops screen? If so its time for a new one lmao   #hp,1,0,0,0
211,•My brother grabbed me in a aggressive manner and as always @ImpetuousFiend threw tantrums like a kid only knowing how to express himself--,1,0,0,0
212,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",1,0,0,0
213,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",1,0,0,0
214,"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation",1,0,0,0
215,I love my black people..... I really really do. But .... my people really do irritate the living hell outta me all cause I'm different. 😑,1,0,0,0
216,I don't talk about politics because people nowadays get offended easily!,1,0,0,0
217,@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either,1,0,0,0
218,"@AskPS_UK not received verification email, asked for it to be resent 5 times still nothing.",1,0,0,0
219,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up  #treatcustomersfairly,1,0,0,0
220,"@Will_0004 No justification for shooting without provocation, even if the person has a bad history. Justification is not the way to go",1,0,0,0
221,I genuinely think I have anger issues,1,0,0,0
222,@judy_that Im honestly offended,1,0,0,0
223,Michelle is one of the worst players in bb history #bb18 #bbfinale #bitter,1,0,0,0
224,I'm so annoyed/sad YouTube is burning itself to the ground 🙄🙄,1,0,0,0
225,"How can I tell Happy Anniversary, when u are not happy.. #bitter #ampalaya #paitpaitanangpeg",1,0,0,0
226,Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer ,1,0,0,0
227,"Never forget that 5Live cancelled programs, to allow them to extend 606 so people could call in and detail their outrage after our behaviour",1,0,0,0
228,When someone rudely says all women should have long hair and your inner feminist tries not to rage,1,0,0,0
229,"Absolutely raging at the changes to CAS, what a joke",1,0,0,0
230,Girls irritate me so much lol,1,0,0,0
231,@LickMeLucas ...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the irritation.,1,0,0,0
232,@xxmariab listen yh don't provoke me cos I'll make you cry,1,0,0,0
233,@luxbet Did you even give out any pizzas ? Serious fail #hungry #furious #hangry,1,0,0,0
234,Bloody parking ticket 😒💸 ,1,0,0,0
235,@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! ,1,0,0,0
236,@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! ,1,0,0,0
237,"They're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. With friends like these...",1,0,0,0
238,And she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and I felt #offended,1,0,0,0
239,@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking. #Hillary #divide  #chaos,1,0,0,0
240,"@UnitedFrontRev @JuanDeznuts @LucidHurricane_ sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated",1,0,0,0
241,@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,1,0,0,0
242,@lesyoung01 a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.,1,0,0,0
243,@TheOneSoleShoe that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,1,0,0,0
244,Delete this shit Josh just screenshotted my snap me,1,0,0,0
245,Can someone make me a priority list of which things I should be outraged at + in which order? #outrage #racism #animalrights #abortion #cops,1,0,0,0
246,@CorbettBarr @pjrvs @brianclark true. Just me spitting venom because I'm still bitter with Stripe. Like an old man yelling from his porch.,1,0,0,0
247,i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️ #fuming,1,0,0,0
248,I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry,1,0,0,0
249,"You will never find someone who loved you like I did. And that my love, will be my revenge.",1,0,0,0
250,A @FirstBSA not turning up? Why am I not surprised. Late for work again! ,1,0,0,0
251,"If you be #angry, which may be the case, &amp; which may be unavoidable, see that the sudden excitement does not become sin. #AlbertBarnes",1,0,0,0
252,@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),1,0,0,0
253,I am just so bitter today 😐,1,0,0,0
254,@Hoopdawg87 @MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that.,1,0,0,0
255,@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer #😂😂,1,0,0,0
256,Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned. #pout #AdultingIsTheWorst,1,0,0,0
257,OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH #rage,1,0,0,0
258,i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG character☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️ ,1,0,0,0
259,@saclivin @MrsCagg specific &amp; intentional way. And part of that intention is to provoke conversation around systemic racism towards blacks.,1,0,0,0
260,@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. #bitter,1,0,0,0
261,@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! ,1,0,0,0
262,@alicehouston18 sorry I'm just angry my drone flew away,1,0,0,0
263,@carefreeash_ id be fuming,1,0,0,0
264,@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,1,0,0,0
265,@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,1,0,0,0
266,I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop  #howmanymoretimes,1,0,0,0
267,Why mfs so bitter,1,0,0,0
268,"im on holiday for the next round, fuming!",1,0,0,0
269,Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of #anger?,1,0,0,0
270,@nytopinion  The point of voting for Trump to push all the pieces off the board game like an angry toddler? Wreck everything for everybody?,1,0,0,0
271,"Like if you aggravate me constantly, byeeeeeeee",1,0,0,0
272,"@Lexual__ @jdspielman10 RIP to the 100s of black men,, women,CHILDREN killed in Chicago. Where is the outrage?",1,0,0,0
273,Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours l...,1,0,0,0
274,hitting your children as discipline because you're being quite a raging hypocrite if you're not.,1,0,0,0
275,sorry im so #bitter i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i like&gt;,1,0,0,0
276,@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.,1,0,0,0
277,@JuliaHB1 Bloody right ,1,0,0,0
278,i have so much hw tonight im offended,1,0,0,0
279,Like hello? I am your first born you must always laugh at my jokes. #offended,1,0,0,0
280,"the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation.  #fatalism",1,0,0,0
281,Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES ,1,0,0,0
282,and apparently he's supposed to have a Scottish accent??? I'm #offended,1,0,0,0
283,"seek to conduct attacks against Israel, intended to provoke a reaction that would further inflame feeling within the Islamic world”. •",1,0,0,0
284,Lost Frequencies/Janieck Devy - Reality (Gestort Aber Geil Remix)' is raging at ShoutDRIVE!,1,0,0,0
285,@EagleGiles23 @tgilmore_92 what I miss? #outrage,1,0,0,0
286,"@AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A follows",1,0,0,0
287,Worst juror ever? Michelle. You were Nicole's biggest threat.  #bb18,1,0,0,0
288,luv seeing a man with a scowl on his face walking with a protein shaker clenching his fists. i immediately stop n suck his dick,1,0,0,0
